How often Australians feel healthy.,Người Úc cảm thấy khỏe mạnh thường xuyên ở mức độ nào.
"Like you, 60% of Aussies your age feel healthy often","Giống như quý vị, 60% người Úc ở tuổi quý vị cảm thấy khỏe mạnh ở mức độ thường xuyên"
How often Australians feel healthy.,Người Úc cảm thấy khỏe mạnh thường xuyên ở mức độ nào.
"There are 40% of Aussies your age who, like you, don't often feel healthy","Có 40% người Úc ở tuổi quý vị, giống như quý vị, không thường xuyên cảm thấy khỏe mạnh"
How often Australians feel healthy.,Người Úc cảm thấy khỏe mạnh thường xuyên ở mức độ nào.
You're among a majority of people 65 and older who often feel healthy,Quý vị trong số phần đông những người 65 tuổi và lớn tuổi hơn thường xuyên cảm thấy khỏe mạnh
How often Australians feel healthy.,Người Úc cảm thấy khỏe mạnh thường xuyên ở mức độ nào.
"At your stage of life about 1 in 3 people, like you, don't often feel healthy","Ở giai đoạn này trong cuộc đời của quý vị, khoảng một phần ba mọi người, giống như quý vị, không thường xuyên cảm thấy khỏe mạnh"
How often Australians feel healthy.,Người Úc cảm thấy khỏe mạnh thường xuyên ở mức độ nào.
How Australian do you think most other Australians would say you are?,"Theo quý vị, hầu hết những người Úc khác có thể nói quý vị mang chất Úc ở mức độ nào?"
You believe other people would think you're more Australian than you actually feel,Quý vị tin là mọi người có thể nghĩ quý vị mang nhiều chất Úc hơn quý vị vị thực sự cảm thấy
"How Australian do you think most other Australians would say you are, on a scale of 0 to 10?","Theo quý vị, hầu hết những người Úc khác có thể nói quý vị mang chất Úc ở mức độ nào, trên thang đo từ 0 đến 10?"
You believe other people would think you're less Australian than you actually feel,Quý vị tin là mọi người có thể nghĩ quý vị mang ít chất Úc hơn quý vị vị thực sự cảm thấy
"How Australian do you think most other Australians would say you are, on a scale of 0 to 10?","Theo quý vị, hầu hết những người Úc khác có thể nói quý vị mang chất Úc ở mức độ nào, trên thang đo từ 0 đến 10?"
You believe other people would think you're about as Australian as you actually feel,Quý vị tin là mọi người có thể nghĩ quý vị mang chất Úc cũng nhiều như quý vị vị thực sự cảm thấy
"How Australian do you think most other Australians would say you are, on a scale of 0 to 10?","Theo quý vị, hầu hết những người Úc khác có thể nói quý vị mang chất Úc ở mức độ nào, trên thang đo từ 0 đến 10?"
I would never want to live in a nursing home.,Tôi có lẽ không bao giờ muốn sống trong viện dưỡng lão.
You never want to live in a nursing home — and nor do 72% of Aussies,Quý vị không bao giờ muốn sống trong việc dưỡng lão — và 72% người Úc cũng không muốn
"Regardless of age, income or education, most of us agree on this one.","Bất kể tuổi tác, lợi tức hay trình độ học vấn, hầu hết chúng ta đều đồng ý về điều này."
I would never want to live in a nursing home.,Tôi có lẽ không bao giờ muốn sống trong viện dưỡng lão.
You're more open to living in a nursing home than the overwhelming majority of Australians,"Quý vị cởi mở hơn về việc sống trong viện dưỡng lão, so với đa số áp đảo người dân Úc"
"Regardless of age, income or education, most people aren't keen on the idea.","Bất kể tuổi tác, lợi tức hay trình độ học vấn, hầu hết mọi người không thiết tha với ý tưởng này."
I would never want to live in a nursing home.,Tôi có lẽ không bao giờ muốn sống trong viện dưỡng lão.
You're with 16% of people who aren't sure what they think about living in a nursing home,Quý vị cùng với 16% mọi người không biết chắc chắn là mình nghĩ sao về việc sống trong viện dưỡng lão 
"But a majority of Australians have a pretty clear answer — regardless of age, income or education, most say they aren't keen on the idea of ending up in a nursing home.","Nhưng đa phần người Úc có câu trả lời khá rõ ràng - bất kể tuổi tác, lợi tức hay trình độ học vấn, hầu hết nói là họ không tha thiết với ý tưởng là cuối cùng sống trong viện dưỡng lão."
I would never want to live in a nursing home.,Tôi có lẽ không bao giờ muốn sống trong viện dưỡng lão.
To what extent do you consider work/life balance a problem for you personally?,"Quý vị coi sự quân bình giữa công việc/cuộc sống là một vấn đề ở mức độ nào, đối với cá nhân quý vị?"
You're among the [[x]]% of Australians your age who don't have much of a problem with their work/life balance,Quý vị trong số [[x]]% người Úc ở tuổi quý vị không có mấy vấn đề về sự quân bình giữa công việc/cuộc sống của họ
"Just under half of all Australians say that managing the demands of work with the rest of their life is challenging, with the youngest Australians struggling the most.","Chỉ dưới một nửa trong số tất cả người Úc nói là, việc quản lý các đòi hỏi của công việc với phần còn lại của cuộc sống của họ là việc khó, với những người Úc trẻ nhất gặp khó khăn nhất."
To what extent do you consider work/life balance a problem for you personally?,"Quý vị coi sự quân bình giữa công việc/cuộc sống là một vấn đề ở mức độ nào, đối với cá nhân quý vị?"
You're among the [[x]]% of Australians your age who think there's a problem with their work/life balance,Quý vị trong số [[x]]% người Úc ở tuổi quý vị cho rằng có vấn đề về sự quân bình giữa công việc/cuộc sống của họ
"Just under half of all Australians say that managing the demands of work with the rest of their life is challenging, with the youngest Australians struggling the most.","Chỉ dưới một nửa trong số tất cả người Úc nói là, việc quản lý các đòi hỏi của công việc với phần còn lại của cuộc sống của họ là việc khó, với những người Úc trẻ nhất gặp khó khăn nhất."
To what extent do you consider work/life balance a problem for you personally?,"Quý vị coi sự quân bình giữa công việc/cuộc sống là một vấn đề ở mức độ nào, đối với cá nhân quý vị?"
I often have difficulty making ends meet.,Tôi thường gặp khó khăn trong việc chi tiêu đủ sống.
You're fortunate to be among the 55% of Australians who aren't struggling financially,Quý vị may mắn nằm trong số 55% người Úc không phải xoay xở về tài chính
I often have difficulty making ends meet.,Tôi thường gặp khó khăn trong chuyện chi tiêu đủ sống.
You're struggling to make ends meet — as are roughly 1 in 3 Aussies,Quý vị đang xoay xở để chi tiêu đủ sống – khoảng một phần ba người Úc khác cũng vậy
I often have difficulty making ends meet.,Tôi thường gặp khó khăn trong chuyện chi tiêu đủ sống.
Roughly 1 in 3 Aussies are struggling to make ends meet,Khoảng một phần ba người Úc đang xoay xở để có thể chi tiêu đủ sống
I often have difficulty making ends meet.,Tôi thường gặp khó khăn trong chuyện chi tiêu đủ sống.
"Overall, how optimistic or pessimistic would you say you are about each of the following?","Về tổng thể, liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về mỗi điều sau đây?"
Your own future,Tương lai của chính mình
The future of Australia,Tương lai của nước Úc
The future of the world,Tương lai của thế giới
You are more pessimistic about your future than [[x]]% of Australians,Quý vị bi quan về tương lai của mình hơn so với [[X]]% người Úc 
"Overall, Australians were much more likely to be optimistic about their personal prospects than about the future of Australia or the world.","Về tổng thể, người Úc có nhiều khả năng là lạc quan về các viễn cảnh cá nhân của mình, hơn nhiều so với về tương lai của nước Úc hay của thế giới."
How optimistic or pessimistic would you say you are about your own future?,Liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của chính mình?
You are more pessimistic about your future than [[x]]% of Australians,Quý vị bi quan về tương lai của mình hơn so với [[X]]% người Úc 
"Overall, Australians were much more likely to be optimistic about their personal prospects than about the future of Australia or the world.","Về tổng thể, người Úc có nhiều khả năng là lạc quan về các viễn cảnh cá nhân của mình, hơn nhiều so với về tương lai của nước Úc hay của thế giới."
How optimistic or pessimistic would you say you are about your own future?,Liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của chính mình?
You are more optimistic about your future than [[x]]% of Australians,Quý vị lạc quan về tương lai của mình hơn so với [[X]]% người Úc 
"Overall, Australians were much more likely to be optimistic about their personal prospects than about the future of Australia or the world.","Về tổng thể, người Úc có nhiều khả năng là lạc quan về các viễn cảnh cá nhân của mình, hơn nhiều so với về tương lai của nước Úc hay của thế giới."
How optimistic or pessimistic would you say you are about your own future?,Liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của chính mình?
You are more optimistic about your future than [[x]]% of Australians,Quý vị lạc quan về tương lai của mình hơn so với [[X]]% người Úc 
"Overall, Australians were much more likely to be optimistic about their personal prospects than about the future of Australia or the world.","Về tổng thể, người Úc có nhiều khả năng là lạc quan về các viễn cảnh cá nhân của mình, hơn nhiều so với về tương lai của nước Úc hay của thế giới."
How optimistic or pessimistic would you say you are about your own future?,Liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của chính mình?
You are more pessimistic about the future of Australia than [X]% of people,Quý vị bi quan về tương lai của nước Úc hơn so với [[X]]% mọi người 
"Overall, Australians are more optimistic about the future of the country than they are about the future of the planet. But still, almost half feel pessimistic.","Về tổng thể, người Úc lạc quan về tương lai của đất nước hơn, so với họ lạc quan về tương lai của hành tinh này. Nhưng gần một nửa số người vẫn cảm thấy bi quan."
"Overall, how optimistic or pessimistic would you say you are about the future of Australia?","Về tổng thể, liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của nước Úc?"
You are more optimistic about the future of Australia than [X]% of people,Quý vị bi quan về tương lai của nước Úc hơn so với [X]% mọi người 
"Overall, Australians are more optimistic about the future of the country than they are about the future of the planet. But still, almost half feel pessimistic.","Về tổng thể, người Úc lạc quan về tương lai của đất nước hơn, so với họ lạc quan về tương lai của hành tinh này. Nhưng gần một nửa số người vẫn cảm thấy bi quan."
"Overall, how optimistic or pessimistic would you say you are about the future of Australia?","Về tổng thể, liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của nước Úc?"
You are more pessimistic about the future of the world than [X]% of Australians,Quý vị bi quan về tương lai của thế giới hơn so với [X]% người Úc
"On the whole, Australians don't think things look too rosy on a global scale — 70% are pessimistic.","Về toàn bộ, người Úc không cho là mọi thứ trông toàn màu hồng trên thang đo toàn cầu - 70% là bi quan."
"Overall, how optimistic or pessimistic would you say you are about the future of the world?","Về tổng thể, liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của thế giới?"
You are more optimistic about the future of the world than [X]% of Australians,Quý vị bi quan về tương lai của thế giới hơn so với [X]% người Úc
"On the whole, Australians don't think things look too rosy on a global scale — 70% are pessimistic.","Về toàn bộ, người Úc không cho là mọi thứ trông toàn màu hồng trên thang đo toàn cầu - 70% là bi quan."
"Overall, how optimistic or pessimistic would you say you are about the future of the world?","Về tổng thể, liệu quý vị nói là mình lạc quan hay bi quan ở mức nào về tương lai của thế giới?"
There are more than two genders.,Có nhiều hơn hai giới tính.
You're among 38% of Australians who do not think there are more than two genders,Quý vị trong số 38% người Úc không nghĩ là có nhiều hơn hai giới tính
"A majority of women agree there are more than two genders, compared with 35% of men.","Đa số phụ nữ đồng ý là có nhiều hơn hai giới tính, so với 35% nam giới đồng ý như vậy."
There are more than two genders.,Có nhiều hơn hai giới tính.
You're among 45% of Australians who think there are more than two genders,Quý vị trong số 45% người Úc cho là có nhiều hơn hai giới tính
"A majority of women agree there are more than two genders, compared with 35% of men.","Đa số phụ nữ đồng ý là có nhiều hơn hai giới tính, so với 35% nam giới đồng ý như vậy."
There are more than two genders.,Có nhiều hơn hai giới tính.
45% of Australians think there are more than two genders,45% người Úc cho là có nhiều hơn hai giới tính
"A majority of women agree there are more than two genders, compared with 35% of men.","Đa số phụ nữ đồng ý là có nhiều hơn hai giới tính, so với 35% nam giới đồng ý như vậy."
There are more than two genders.,Có nhiều hơn hai giới tính.
I am spending more than I can afford on housing.,Tôi đang chi tiêu cho chuyện nhà ở ở mức nhiều hơn khả năng tài chính của tôi.
You're having a harder time keeping a roof over your head than most Aussies,"Quý vị đang trong thời gian khó khăn hơn trong việc giữ được căn nhà của mình, so với hầu hết người Úc"
I am spending more than I can afford on housing.,Tôi đang chi tiêu cho chuyện nhà ở ở mức nhiều hơn khả năng tài chính của tôi.
You didn't say whether you are spending more than you can afford on housing — but 1 in 5 are,Quý vị không nói liệu mình có đang chi tiêu cho chuyện nhà ở ở mức nhiều hơn khả năng tài chính của mình không - nhưng một phần năm mọi người đang như vậy
I am spending more than I can afford on housing.,Tôi đang chi tiêu cho chuyện nhà ở ở mức nhiều hơn khả năng tài chính của tôi.
"Like most Aussies, you feel confident you can keep a roof over your head","Cũng như hầu hết người Úc, quý vi cảm thấy tự tin là mình có thể giữ được căn nhà của mình"
I am spending more than I can afford on housing.,Tôi đang chi tiêu cho chuyện nhà ở ở mức nhiều hơn khả năng tài chính của tôi.
What is the most pressing problem affecting you personally?,Vấn đề cấp thiết nhất đang ảnh hưởng đến cá nhân quý vị là gì?
We asked Australians to tell us which issues they considered a problem for them personally,Chúng tôi yêu cầu những người Úc cho chúng tôi biết trong số các vấn đề họ coi một vấn đề nào là vấn đề cá nhân đối với họ
"Climate change, money troubles and health issues are generally top of mind for Australians in 2019.","Thay đổi khí hậu, các rắc rối tiền bạc và vấn đề sức khỏe thường là những vấn đề hàng đầu đối với người Úc trong năm 2019."
Proportion of Australians who said these problems were affecting them personally.,Tỉ lệ người Úc nói là những vấn đề này đang ảnh hưởng đến cá nhân họ.
Now let's take a more detailed look at what Australians think about these top issues that affect them personally.,Giờ chúng ta hãy cùng tìm hiểu một cách chi tiết xem người Úc nghĩ gì về những vấn đề hàng đầu mà đang ảnh hưởng đến cá nhân họ.
"People should be able to say what they want, even if it offends others.","Mọi người nên có thể nói ra những gì họ muốn nói, ngay cả khi điều đó làm mếch lòng người khác."
45% of Australians agree with your view on freedom of speech — but another 45% do not,45% người Úc đồng ý với quan điểm của quý vị về quyền tự do phát biểu - nhưng 45% khác không đồng ý
"Overall, this issue really divides the nation. Men tend to support greater freedom of speech, while women are more concerned about avoiding offence.","Về tổng thể, vấn đề này thực sự gây chia rẽ quốc gia. Nam giới có xu hướng ủng hộ quyền tự do phát biểu rộng rãi hơn, trong khi phụ nữ quan ngại hơn đến việc tránh làm mếch lòng người khác."
"People should be able to say what they want, even if it offends others.","Mọi người nên có thể nói ra những gì họ muốn nói, ngay cả khi điều đó làm mếch lòng người khác."
"45% of Australians support freedom of speech even if it causes offence, but another 45% do not","45% người Úc ủng hộ quyền tự do phát biểu ngay cả khi điều này gây mếch lòng, nhưng 45% khác không ủng hộ"
"Men tend to support greater freedom of speech, while women are more concerned about avoiding offence.","Nam giới có xu hướng ủng hộ quyền tự do phát biểu rộng rãi hơn, trong khi phụ nữ quan ngại hơn đến việc tránh làm mếch lòng người khác."
"People should be able to say what they want, even if it offends others.","Mọi người nên có thể nói ra những gì họ muốn nói, ngay cả khi điều đó làm mếch lòng người khác."
People should not be allowed to say things in public that discriminate against minority groups.,Mọi người không nên được cho phép công khai nói những điều gây kỳ thị đối với các nhóm thiểu số.
You are among 55% of Australians who think that people should not be allowed to say things in public that discriminate against minority groups,Quý vị trong số 55% người Úc cho là mọi người không nên được cho phép công khai nói những điều gây kỳ thị đối với các nhóm thiểu số 
"Women, people who live in the inner-city and Australians who have non-European ancestry are the most likely groups to agree with you.","Phụ nữ, những người sống trong nội đô và những người Úc có tổ tiên không phải người Châu Âu là những nhóm có nhiều khả năng đồng ý với quý vị nhất."
People should not be allowed to say things in public that discriminate against minority groups.,Mọi người không nên được cho phép công khai nói những điều gây kỳ thị đối với các nhóm thiểu số
You are among 1 in 3 Australians who think that people should be allowed to say things in public that discriminate against minority groups,Quý vị trong số một phần ba người Úc cho là mọi người không nên được cho phép công khai nói những điều gây kỳ thị đối với các nhóm thiểu số
"Men, people who live in regional and rural Australia, and those with European ancestry are the groups more likely to agree with you.","Nam giới, những người sống tại nước Úc miền quê và xa xôi và những người có tổ tiên là người Châu Âu là những nhóm có nhiều khả năng đồng ý với quý vị  hơn."
People should not be allowed to say things in public that discriminate against minority groups.,Mọi người không nên được cho phép công khai nói những điều gây kỳ thị đối với các nhóm thiểu số
"Overall, 55% of Australians think people should not be allowed to say things in public that discriminate against minority groups","Về tổng thể, quý vị trong số 55% người Úc cho là mọi người không nên được cho phép công khai nói những điều gây kỳ thị đối với các nhóm thiểu số "
"Women, people who live in the inner-city and Australians who have non-European ancestry are the groups with the strongest levels of agreement with this statement.","Phụ nữ, những người sống trong nội đô và những người Úc có tổ tiên không phải người Châu Âu là các nhóm có mức độ đồng ý cao nhất với tuyên bố này."
People should not be allowed to say things in public that discriminate against minority groups.,Mọi người không nên được cho phép công khai nói những điều gây kỳ thị đối với các nhóm thiểu số
I think I would be happier if I…,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu ...
Had more money ,Có nhiều tiền hơn
Had more friends ,Có nhiều bạn hơn
Worked less,Làm việc ít hơn
Spent more time in nature,Dành thời gian với thiên nhiên nhiều hơn
Spent more time with family,Dành thời gian với gia đình nhiều hơn
Spent less time commuting,Mất ít thời gian cho việc đi lại hơn
Had a better sex life,Có cuộc sống tình dục tốt đẹp hơn
Had a better job,Có việc làm tốt hơn
Travelled more often,Đi du lịch nhiều hơn
Were more involved in my community ,Tham gia cộng đồng nhiều hơn 
Took better care of myself,Chăm sóc bản thân tốt hơn
Socialised more,Giao thiệp nhiều hơn
Spent less time on social media,Dành thời gian cho mạng xã hội ít hơn
Slept more,Ngủ nhiều hơn
Spent less time running errands and doing chores,Mất ít thời gian cho việc lặt vặt và việc nhà hơn
Had (more) children,Có (nhiều) con hơn
Had a more fulfilling romantic relationship ,Có mối quan hệ tình cảm trọn vẹn hơn
"It's time to head outside, but expect some company","Giờ là lúc để ra ngoài, nhưng kỳ vọng có người đi cùng"
"Spending more time in nature is the single most popular thing Aussies feel would make them happier, across all demographics.","Dành nhiều thời gian với thiên nhiên hơn là việc phổ biến duy nhất mà người Úc, trong toàn bộ dân số, cảm thấy có thể sẽ làm cho họ hạnh phúc hơn. "
I think I would be happier if I spent more time in nature.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu dành nhiều thời gian với thiên nhiên hơn.
You and a majority of Australians in every age group wish they travelled more,Quý vị và đa phần người Úc trong mọi nhóm tuổi mong ước giá mà họ đi du lịch nhiều hơn
Turns out we’re a nation of travellers… or at least we’d like to be.,Hóa ra chúng ta là một đất nước của những người đi du lịch... hoặc ít nhất chúng ta muốn như vậy.
I think I would be happier if I travelled more often.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu đi du lịch thường xuyên hơn.
Who says money can’t buy happiness? Not you,Ai nói là tiền bạc không thể mua được hạnh phúc? Không phải quý vị
"It doesn't really matter how much you currently earn, most people are pretty sure more money would bring them greater happiness.","Việc quý vị hiện kiếm được bao nhiêu tiền không thực sự quan trọng, hầu hết mọi người biết khá chắc chắn là nhiều tiền hơn có thể mang đến cho họ nhiều hạnh phúc hơn."
I think I would be happier if I had more money.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu có nhiều tiền hơn.
"Like most Aussies, you could do with a little more self-care","Giống như hầu hết người Úc, quý vị có thể hạnh phúc hơn bằng cách chăm sóc bản thân mình nhiều hơn một chút"
Young people are the most inclined to think taking better care of themselves would make them happier.,Người trẻ có nhiều khuynh hướng nhất trong việc cho là chăm sóc bản thân mình tốt hơn có thể làm cho họ hạnh phúc hơn.
I think I would be happier if I took better care of myself.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu chăm sóc bản thân mình tốt hơn.
It’s not just retiring politicians who want to spend more time with family — you do too,Không chỉ các chính trị gia nghỉ hưu muốn dành nhiều thời gian với gia đình hơn - mà quý vị cũng vậy
I think I would be happier if I spent more time with family.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu dành nhiều thời gian với gia đình hơn.
"You, like most Australians, think more shut-eye would help boost your happiness","Quý vị, giống như hầu hết người Úc, cho là, nhắm mắt nhiều hơn có thể giúp tăng cường hạnh phúc của mình"
"Richer Australians are more likely to be craving more sleep. But the older you are, the less likely you are to think more sleep would add to your happiness — maybe the good ol' nanna nap is enough?","Những người Úc giàu có hơn có nhiều khả năng thèm ngủ nhiều hơn. Nhưng càng lớn tuổi, quý vị càng ít có khả năng cho là ngủ nhiều hơn có thể làm gia tăng hạnh phúc của mình – có lẽ chợp mắt say sưa chốc lát là đủ rồi?"
I think I would be happier if I slept more.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu ngủ nhiều hơn.
"You think a better sex life would make you happier, and nearly half of Australians agree","Quý vị cho là đời sống tình dục tốt đẹp hơn có thể làm cho quý vị hạnh phúc hơn, và gần một nửa người Úc đồng ý như vậy"
I think I would be happier if I had a better sex life.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu có đời sống tình dục tốt đẹp hơn.
"Everyone wants to do fewer chores, right? Well, not quite","Ai cũng muốn làm ít việc vặt hơn, đúng không? Ồ, không hẳn là vậy"
I think I would be happier if I spent less time running errands and doing chores.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu dành ít thời gian cho việc lặt vặt và việc nhà hơn.
"Put the phone down, and maybe head outside?","Buông điện thoại xuống, và có lẽ ra ngoài chăng?"
"While almost everyone is on social media these days, it’s younger people who think it's having the worst impact on their happiness.","Mặc dù ngày nay hầu hết tất cả mọi người dành thời gian cho truyền thông xã hội, nhưng chính những người trẻ hơn lại cho là việc này đang có tác động xấu nhất đến hạnh phúc của họ."
I think I would be happier if I spent less time on social media.,Tôi cho là mình có thể sẽ hạnh phúc hơn nếu dành ít thời gian cho truyền thông xã hội hơn.
How often would you say you feel...?,"Quý vị cảm thấy thế nào, sau khi trải qua...?"
Anxious,Lo âu
Overwhelmed,Choáng ngợp
Lonely,Cô đơn
Unsafe,Không an toàn
Unwell,Không khoẻ
Rested,Thư giãn
Fulfilled,Trọn vẹn
Loved,Được yêu thương
Calm,Bình tĩnh
Healthy,Khoẻ mạnh
Sad,Buồn
Depressed,Trầm cảm
Happy,Hạnh phúc
Angry,Giận dữ
You’re at an age where many people feel lonely,Quý vị ở tuổi khi mà nhiều người cảm thấy cô đơn
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
"You don't feel lonely often, but many people your age do","Quý vị không thường xuyên cảm thấy cô đơn, nhưng nhiều người Úc ở tuổi quý vị cảm thấy như vậy"
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
"You feel happy a lot of the time, but many people your age don't","Phần nhiều thời gian là quý vị cảm thấy hạnh phúc, nhưng nhiều người ở tuổi quý vị không như vậy"
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
You’re at an age where people are least likely to feel happy,Quý vị ở tuổi khi mà mọi người ít có khả năng cảm thấy hạnh phúc nhất
"You feel happy a lot of the time, but about 1 in 3 people your age don't","Phần nhiều thời gian là quý vị cảm thấy hạnh phúc, nhưng khoảng một phần ba mọi người ở tuổi quý vị không như vậy"
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
Roughly 1 in 3 people your age don't often feel happy,Khoảng một phần ba mọi người ở tuổi quý vị không thường xuyên cảm thấy hạnh phúc
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
You’re at an age where Australians are most likely to feel happy,Quý vị ở tuổi khi mà người Úc có nhiều khả năng cảm thấy hạnh phúc nhất
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
1 in 4 people your age don't often feel happy,Một phần tư mọi người ở tuổi quý vị không thường xuyên cảm thấy hạnh phúc
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
You’re at an age where Australians are most likely to feel happy,Quý vị ở tuổi khi mà người Úc có nhiều khả năng cảm thấy hạnh phúc nhất
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
16% of people your age don't often feel happy — it's not uncommon to feel that way,16% mọi người ở tuổi quý vị không thường xuyên cảm thấy hạnh phúc – nhưng việc cảm thấy như vậy không phải là chuyện hiếm gặp
"How lonely, happy and anxious Australians of different ages report feeling.","Những người Úc thuộc các nhóm tuổi khác nhau, khai báo cảm thấy cô đơn, hạnh phúc và lo âu ở mức độ nào."
"You often feel loved, but 1 in 3 men don't","Quý vị thường xuyên cảm thấy được yêu thương, nhưng một phần ba nam giới không cảm thấy vậy"
Men report feeling overwhelmed and sad less often than women do. But they're also less likely than women to feel loved.,"Nam giới khai báo cảm thấy choáng ngợp và buồn ở mức độ ít thường xuyên hơn, so với phụ nữ cảm thấy như vậy. Nhưng họ cũng ít có khả năng cảm thấy được yêu thương hơn, so với phụ nữ cảm thấy vậy."
"How loved, overwhelmed and sad Australian men and women report feeling.","Nam giới và phụ nữ Úc khai báo cảm thấy được yêu thương, cảm thấy choáng ngợp và buồn ở mức độ nào."
1 in 3 Australian men say they don't often feel loved — it's not uncommon to feel that way,Một phần ba nam giới Úc nói rằng họ không thường xuyên cảm thấy được yêu thương - nhưng việc cảm thấy như vậy không phải là chuyện hiếm gặp
Men report feeling overwhelmed and sad less often than women do. But they're also less likely than women to feel loved.,"Nam giới khai báo cảm thấy choáng ngợp và buồn ở mức độ ít thường xuyên hơn, so với phụ nữ cảm thấy như vậy. Nhưng họ cũng ít có khả năng cảm thấy được yêu thương hơn, so với phụ nữ cảm thấy vậy."
"How loved, overwhelmed and sad Australian men and women report feeling.","Nam giới và phụ nữ Úc khai báo cảm thấy được yêu thương, cảm thấy choáng ngợp và buồn ở mức độ nào."
"You often feel loved, but 1 in 4 women don't","Quý vị thường xuyên cảm thấy được yêu thương, nhưng một phần tư phụ nữ không cảm thấy vậy"
"Women are more likely than men to feel overwhelmed or sad. But, they’re also more likely than men to feel loved.","Phụ nữ có nhiều khả năng cảm thấy choáng ngợp hay buồn bã hơn, so với nam giới. Nhưng họ cũng có nhiều khả năng cảm thấy được yêu thương hơn, so với nam giới cảm thấy vậy."
"How loved, overwhelmed and sad Australian men and women report feeling.","Nam giới và phụ nữ Úc khai báo cảm thấy được yêu thương, cảm thấy choáng ngợp và buồn ở mức độ nào."
1 in 4 Australian women say they don't often feel loved — it's not uncommon to feel that way,Một phần tư phụ nữ Úc nói rằng họ không thường xuyên cảm thấy được yêu thương - nhưng việc cảm thấy như vậy không phải là chuyện hiếm gặp
"Women are more likely than men to feel overwhelmed or sad. Overall, they also say they feel loved more often than men do.","Phụ nữ có nhiều khả năng cảm thấy choáng ngợp hay buồn bã hơn, so với nam giới. Về tổng thể, họ cũng nói rằng họ cảm thấy được yêu thương thường xuyên nhiều hơn nam giới cảm thấy vậy."
"How loved, overwhelmed and sad Australian men and women report feeling.","Nam giới và phụ nữ Úc khai báo cảm thấy được yêu thương, cảm thấy choáng ngợp và buồn ở mức độ nào."
"You often feel loved, but almost 1 in 3 Australians don't","Quý vị thường xuyên cảm thấy được yêu thương, nhưng gần một phần ba người Úc không cảm thấy như vậy"
"Women are more likely than men to feel overwhelmed or sad. But, they’re also more likely than men to feel loved.","Phụ nữ có nhiều khả năng cảm thấy choáng ngợp hay buồn bã hơn, so với nam giới. Nhưng họ cũng có nhiều khả năng cảm thấy được yêu thương hơn, so với nam giới cảm thấy vậy."
"How loved, overwhelmed and sad Australian men and women report feeling.","Nam giới và phụ nữ Úc khai báo cảm thấy được yêu thương, cảm thấy choáng ngợp và buồn ở mức độ nào."
Almost 1 in 3 Australians say they don't often feel loved — it's not uncommon to feel that way,Gần một phần ba người Úc nói rằng họ không thường xuyên cảm thấy được yêu thương - nhưng việc cảm thấy như vậy không phải là chuyện hiếm gặp
"Women are more likely than men to feel overwhelmed or sad. But, they’re also more likely than men to feel loved.","Phụ nữ có nhiều khả năng cảm thấy choáng ngợp hay buồn bã hơn, so với nam giới. Nhưng họ cũng có nhiều khả năng cảm thấy được yêu thương hơn, so với nam giới cảm thấy vậy."
